𬡒	裌
𬢊	覗
𬢋	覜
𬢎	覩
𬢒	覭
𬢙	⿱吂⿲月角凡 léi
𬣀	讆
𬣣	註
𬣥	詜
𬣦	詏
𬣱	詶
𬣼	誏
𬣽	謰
𬤂	𧨾
𬤆	謴
𬤎	諠
𬤐	謌
𬤙	謼
𬤤	譄
𬤥	譔
𬤨	譟
𬤩	譺
𬤭	譿
𬤮	讚
𬤰	讙
𬦻	躀
𬦾	𨈇
𬧀	蹡
𬧢	䡁
𬨈	輓
𬩾	郲
𬪍	鄮
𬪨	醆
𬬧	釬
𬬨	釫
𬬪	釦
𬬰	鎗
𬬲	釽
𬬷	鉐
𬬺	鉏
𬭃	銔
𬭅	銗
𬭍	銲
𬭣	䤼
𬭦	鎒
𬭨	鎚
𬭪	鎋
𬭭	鏚
𬭮	鏋
𬭲	鏁
𬭴	䥛
𬮘	閄
𬮟	焛
𬮡	𨳿
𬮢	閧
𬮤	閤
𬮥	閦
𬮦	関
𬮭	闚
𬮲	闄
𬮳	闆
𬮴	闇
𬮻	隖
𬯅	陿
𬰳	䪓
𬱗	頕
𬱞	⿱吅页 xiāo áo
𬱣	䫈
𬱦	䫏
𬱳	龥
𬲦	飤
𬲪	⿰饣从 chuáng
𬲫	䬯
𬳁	餚
𬳍	餹
𬳳	颿
𬳴	駍
𬴅	騯
𬴆	騹
𬴎	⿰马橐 tuō
𬴐	驩
𬶀	魝
𬶁	魜
𬶕	鮷
𬶛	鱓
𬶧	鰇
𬶺	鱹
𬷿	𪅜
𬸅	鶵
𬸆	䲼
𬸈	鵄
𬸕	鸎
𬸧	鷰
𬸩	䴈
𬸯	鷿
𬸰	鸖
𬸱	鸜
𬹅	䴭
𬹉	䴷
𬹔	䵖
𬹳	齎
𬺔	齽
𬺜	㰍
𬾺	⿰并令
𬿳	㑕
𭁵	⿱冖⿺元攵 kòu
𭁹	⿱㓁圭 guà
𭃂	⿹𠃌⿻丿二 liǎng
𭄛	劗
𭇡	⿰口夺 dū
𭇯	嚠
𭈘	⿰口物 wù
𭎂	㙡
𭎜	壔
𭏸	壝
𭔰	⿰豆寸 duǎn
𭕆	⿱⺌贝 suǒ
𭖊	⿱㓁山
𭘓	幠
𭚦	彍
𭞄	懓
𭠙	擈
𭣇	攧
𭣧	斁
𭤎	斄
𭤰	旟
𭥍	⿱𠂉日 zhǐ
𭦌	⿳⺈田日 céng zēng
𭧋	曭
𭩛	椚
𭩰	橃
𭪆	檛
𭫀	樻
𭭈	㰳
𭰎	澢
𭱊	澒
𭲫	灟
𭴘	⿳肀一灬 jǐn jìn
𭴙	⿱占火 diǎn
𭹜	㼈
𮃄	⿰禾朶 duò
𮅕	⿳𥫗目大 suàn
𮆏	籣
𮉡	纑
𮉢	紩
𮉤	絓
𮉧	緉
𮉨	緺
𮉪	緅
𮉫	緌
𮉬	綷
𮉯	縩
𮐚	薠
𮐨	蘡
𮔂	䗻
𮔅	蝜
𮔊	蜽
𮔚	蟧
𮖁	裲
𮖱	襭
𮙊	讔
𮙋	讟
𮙸	⿸眉八 méi
𮝴	軱
𮝵	輀
𮝷	轒
𮝸	輴
𮝹	轘
𮝺	轕
𮠞	䤌
𮠳	醦
𮣲	釭
𮣳	鈜
𮣴	鋋
𮣵	錣
𮣶	鑢
𮣷	鐻
𮤭	𨳒
𮤲	閟
𮧴	韔
𮨴	檒
𮩛	饆
𮩞	饐
𮪣	騣
𮪤	騲
𮪥	驐
𮫂	鬡
𮬜	鮨
